symbol,maxAge,priceHint,enterpriseValue,forwardPE,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,beta,impliedSharesOutstanding,category,bookValue,priceToBook,fundFamily,legalType,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,latestShareClass,leadInvestor
NVDA,1,2,4524150882304,28.140186,0.52414,23327757000,24347000000,210957056,217485473,2025-09-15 05:30:00,2025-10-15 05:30:00,0.0087,0.04321,0.68999,1.15,0.009,2.269,24623853720,,4.113,45.72818,,,2025-01-26 05:30:00,2026-01-26 05:30:00,2025-07-27 05:30:00,0.592,86597001216,3.52,4.12,10:1,2024-06-10 05:30:00,27.383,46.033,0.27399576,0.120886564,0.01,1757548800,,
AAPL,1,2,4043896782848,29.720465,0.26915002,14750198855,14776353000,109135657,118199377,2025-09-15 05:30:00,2025-10-15 05:30:00,0.0074,0.01979,0.63918996,2.08,0.0074,1.109,14776353000,,4.991,54.05129,,,2025-09-27 05:30:00,2026-09-27 05:30:00,2025-09-27 05:30:00,0.864,112010002432,7.47,8.31,4:1,2020-08-31 05:30:00,9.717,27.937,0.18862355,0.120886564,0.26,1754870400,,
MSFT,1,2,3712997916672,26.410023,0.35707,7421526384,7432377655,52344880,65238937,2025-09-15 05:30:00,2025-10-15 05:30:00,0.0069999998,0.00065,0.74624,2.73,0.0069999998,1.065,7432377655,,48.84,10.178133,,,2025-06-30 05:30:00,2026-06-30 05:30:00,2025-09-30 05:30:00,0.125,104912003072,14.07,14.95,2:1,2003-02-18 05:30:00,12.637,22.309,0.17645669,0.120886564,0.83,1755734400,,
AVGO,1,2,175526494208,38.262184,0.31592,405792630,4722365022,52626360,49717172,2025-09-15 05:30:00,2025-10-15 05:30:00,0.0111,0.02014,0.79543996,2.18,0.0126,1.21,4722365022,,59.221,6.004458,,,2024-11-03 05:30:00,2025-11-03 05:30:00,2021-08-01 05:30:00,1.727,18812999680,3.91,6.17,10:1,2024-07-15 05:30:00,2.929,5.36,0.93634284,0.120886564,0.59,1758499200,,
TSM,1,2,5742867251200,23.246,0.43287,24169871600,5186523104,34082449,26982663,2025-09-15 05:30:00,2025-10-15 05:30:00,0.0066000004,0.00039,0.16339001,2.49,0.0066000004,1.26,5186409984,,192.762,1.5005032,,,2024-12-31 05:30:00,2025-12-31 05:30:00,2025-09-30 05:30:00,0.391,1571931160576,9.0,8.08,1005:1000,2009-07-15 05:30:00,1.581,2.304,0.4375745,0.120886564,0.822,1757980800,,
ORCL,1,2,793938886656,30.37779,0.21079999,1678429957,2850792605,19366561,23583435,2025-09-15 05:30:00,2025-10-15 05:30:00,0.0068,0.4095,0.44547,0.7,0.0115,1.636,2850792605,,8.502,28.675606,,,2025-05-31 05:30:00,2026-05-31 05:30:00,2025-08-31 05:30:00,-0.001,12440999936,4.32,7.16,2:1,2000-10-13 05:30:00,13.452,32.455,0.28824306,0.120886564,0.5,1759968000,,
PLTR,1,2,411115945984,178.08818,0.28114,2200150084,2284334012,48790674,54581338,2025-09-15 05:30:00,2025-10-15 05:30:00,0.020599999,0.03611,0.57291,0.9,0.0225,1.477,2383436338,,2.765,63.30922,,,2024-12-31 05:30:00,2025-12-31 05:30:00,2025-09-30 05:30:00,2.314,1095366016,0.44,0.47,,,105.518,469.419,1.9979448,0.120886564,,,,
ASML,1,2,396185665536,39.773384,0.29378,387179937,388147674,1531976,2239653,2025-09-15 05:30:00,2025-10-15 05:30:00,0.0039,0.0001,0.18013,0.81,0.0044,1.355,392648985,,49.041,20.98652,,,2024-12-31 05:30:00,2025-12-31 05:30:00,2025-09-28 05:30:00,0.023,9463199744,27.79,26.7,8:9,2007-10-01 05:30:00,12.299,32.587,0.5373355,0.120886564,1.864,1761696000,,
AMD,1,2,383612485632,36.67242,0.10323,1617345307,1628041540,38861080,41767201,2025-09-15 05:30:00,2025-10-15 05:30:00,0.0239,0.00452,0.69286,0.55,0.0241,1.913,1622843689,,37.34,6.3658276,,,2024-12-28 05:30:00,2025-12-28 05:30:00,2025-09-27 05:30:00,0.612,3131000064,1.9,5.1,2:1,2000-08-22 05:30:00,11.978,63.365,0.6066239,0.120886564,,,,
SAP,1,2,295137312768,30.034487,0.19406,962628000,1164604232,3040301,2726889,2025-09-15 05:30:00,2025-10-15 05:30:00,0.0026,0.00029,0.06409,1.94,0.0026,0.813,1200828606,,36.776,6.903415,,,2024-12-31 05:30:00,2025-12-31 05:30:00,2025-09-30 05:30:00,0.37,7081999872,6.93,6.75,4:1,1998-07-28 05:30:00,8.087,27.269,0.068698406,0.120886564,2.63,1747094400,,
