symbol,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,shortName
NVDA,1,2,195.21,196.355,186.38,197.62,195.21,196.355,186.38,197.62,0.04,0.0002,2025-09-11 05:30:00,0.0114,0.06,2.269,53.43182,45.650486,219135616,219135616,179609942,201304610,201304610,187.21,188.99,10000,5000,4579183820800,86.62,212.19,212.19,0.033333,27.716011,183.273,149.3631,0.04,0.00020490753,USD,,,,,,False,NVIDIA Corporation
AAPL,1,2,270.14,267.89,267.89,273.4,270.14,267.89,267.89,273.4,1.04,0.0039,2025-11-10 05:30:00,0.1367,0.53,1.109,36.11379,32.463295,45608876,45608876,52385325,52612690,52612690,254.65,287.07,100,100,3986216452096,169.21,277.32,277.32,0.049107,9.578544,251.534,224.17345,1.02,0.0037758197,USD,,,,,,False,Apple Inc.
MSFT,1,2,507.16,505.36,495.81,505.7,507.16,505.36,495.81,505.7,3.64,0.0073,2025-11-20 05:30:00,0.2361,0.8,1.065,35.33049,33.250835,27048995,27048995,20783765,26903930,26903930,496.61,497.14,100,100,3694634991616,344.79,555.45,555.45,0.088542,12.574826,514.1324,462.6787,3.4,0.006703999,USD,,,,,,False,Microsoft Corporation
AVGO,1,2,358.98,359.84,352.71,363.5,358.98,359.84,352.71,363.5,2.36,0.0066000004,2025-09-22 05:30:00,0.5897,2.14,1.21,90.94373,57.632088,19830488,19830488,23140314,20634410,20634410,355.36,355.75,100,100,1679225782272,138.1,386.48,386.48,1.433,28.021656,344.0898,261.3309,2.36,0.006574182,USD,,,,,,False,Broadcom Inc.
TSM,1,2,293.64,294.1,287.3811,294.64,293.64,294.1,287.3811,294.64,3.34,0.0115,2025-12-11 05:30:00,0.305,1.64,1.26,32.137775,35.797028,10752808,10752808,12543471,12821540,12821540,288.2,290.35,8000,12000,1500149841920,134.25,311.37,311.37,2.842947,0.41310227,278.9694,220.33575,14.5,0.04938019,USD,,,,,,False,Taiwan Semiconductor Manufactur
ORCL,1,2,250.31,247.94,239.3,248.73,250.31,247.94,239.3,248.73,2.0,0.0082,2025-10-09 05:30:00,0.41669998,1.32,1.636,56.435184,34.05028,18539639,18539639,23206840,16846650,16846650,0.0,242.09,16000,20000,695023239168,118.86,345.72,345.72,0.040123,11.776463,279.2574,207.66644,1.9,0.0075905877,USD,,,,,,False,Oracle Corporation
PLTR,1,2,187.9,187.95,174.53,191.09,187.9,187.95,174.53,191.09,,,,0.0,,1.477,397.8409,372.4468,77846830,77846830,62064565,63856390,63856390,174.62,175.44,200,200,417220526080,55.3,207.52,207.52,5.92,107.08498,177.3378,134.8385,0.0,0.0,USD,,,,,,False,Palantir Technologies Inc.
ASML,1,2,1043.75,1039.14,1026.55,1041.53,1043.75,1039.14,1026.55,1041.53,7.37,0.0072000003,2025-10-29 05:30:00,0.2672,0.82,1.355,37.0349,38.546814,1067351,1067351,1516304,1199230,1199230,748.24,1315.35,100,100,404114309120,578.51,1086.11,1110.09,2.374188,12.545458,947.4568,782.4008,6.48,0.0062083835,USD,,,,,,False,ASML Holding N.V. - New York Re
AMD,1,2,256.33,253.465,235.75,253.51,256.33,253.465,235.75,253.51,,,1995-04-27 05:30:00,0.0,,1.913,125.10526,46.607845,65675603,65675603,58764012,53931520,53931520,226.0,250.0,100,100,386985492480,76.48,267.08,267.08,1.61,12.083101,198.046,142.0033,0.0,0.0,USD,,,,,,False,"Advanced Micro Devices, Inc."
SAP,1,2,261.06,257.85,250.985,258.5,261.06,257.85,250.985,258.5,2.54,0.01,2025-05-13 05:30:00,0.3716,1.48,0.813,36.634922,37.61185,1090631,1090631,1677931,1585310,1585310,0.0,0.0,16000,12000,304866361344,227.52,313.28,313.28,9.93,8.353876,267.6092,280.33624,2.35,0.009001762,USD,,,,,,False,SAP  SE
IBM,1,2,306.77,306.75,304.07,315.44,306.77,306.75,304.07,315.44,6.72,0.0215,2025-11-10 05:30:00,0.7986,4.21,0.688,37.19286,29.445808,6810916,6810916,5423657,7145430,7145430,0.0,313.58,16000,16000,292029988864,204.07,319.35,319.35,3.824092,4.4651537,278.1936,262.1666,6.7,0.021840466,USD,,,,,,False,International Business Machines
CSCO,1,2,72.1,71.71,70.6903,72.23,72.1,71.71,70.6903,72.23,1.64,0.0231,2025-10-03 05:30:00,0.6353,2.92,0.869,27.858824,18.215384,15276525,15276525,19434107,18574570,18574570,70.98,71.15,500,500,279949115392,52.11,74.84,82.0,0.068576,4.941383,69.16,64.9622,1.62,0.022468794,USD,,,,,,False,"Cisco Systems, Inc."
MU,1,2,237.5,237.8,234.88,246.41,237.5,237.8,234.88,246.41,0.46,0.0019,2025-10-03 05:30:00,0.060599998,0.33,1.552,31.441954,18.51826,31109849,31109849,23794006,22442760,22442760,225.24,238.66,100,200,267517329408,61.54,246.41,246.41,0.3375,7.15708,179.0064,119.99575,0.46,0.0019368421,USD,,,,,,False,"Micron Technology, Inc."
CRM,1,2,252.68,250.535,234.48,250.535,252.68,250.535,234.48,250.535,1.66,0.0069999998,2025-09-17 05:30:00,0.23719999,,1.243,34.727142,21.497753,11021836,11021836,9370879,6953970,6953970,0.0,239.48,50000,40000,227785048064,226.48,369.0,369.0,2.25,5.766418,247.7018,269.29626,1.632,0.006458762,USD,,,,,,False,"Salesforce, Inc."
SHOP,1,2,162.92,162.15,155.78,163.09,162.92,162.15,155.78,163.09,,,,0.0,,2.823,114.742645,84.35135,9633038,9633038,7720282,10710610,10710610,155.67,156.33,100,100,203374313472,69.84,182.19,182.19,1.7,19.014053,155.3756,122.24315,0.0,0.0,USD,,,,,,False,Shopify Inc.
LRCX,1,2,165.05,163.99,160.23,165.2129,165.05,163.99,160.23,165.2129,1.04,0.0064,2025-09-24 05:30:00,0.20969999,1.04,1.779,35.80353,37.98361,9591664,9591664,11547425,10436780,10436780,154.85,172.26,100,100,203715493888,56.32,166.92,166.92,0.066667,10.398004,133.838,97.1227,0.95,0.0057558315,USD,,,,,,False,Lam Research Corporation
UBER,1,2,92.75,92.0,90.83,92.77,92.75,92.0,90.83,92.77,,,,0.0,,1.183,11.855856,39.0339,15114222,15114222,16942600,20040520,20040520,91.81,92.11,30000,20000,191409750016,59.33,101.99,101.99,13.71,3.8582897,95.5194,85.61665,0.0,0.0,USD,,,,,,False,"Uber Technologies, Inc."
QCOM,1,2,179.72,177.76,170.07,178.51,179.72,177.76,170.07,178.51,3.56,0.020599999,2025-12-04 05:30:00,0.6946,2.08,1.208,34.570858,14.161898,16158663,16158663,9274500,19318540,19318540,173.0,173.46,200,200,185497190400,120.8,205.95,230.63,0.390625,4.1888084,167.2608,157.81415,3.48,0.019363454,USD,,,,,,False,QUALCOMM Incorporated
AMAT,1,2,240.794,240.64,232.9301,240.77,240.794,240.64,232.9301,240.77,1.84,0.007900001,2025-11-20 05:30:00,0.1981,0.82,1.674,27.86754,24.100103,9265503,9265503,8425734,7033650,7033650,233.18,233.75,200,100,186039910400,123.74,242.5,255.89,0.076389,6.501937,204.0182,176.46445,1.72,0.007143035,USD,,,,,,False,"Applied Materials, Inc."
INTU,1,2,655.33,650.33,640.57,659.36,655.33,650.33,640.57,659.36,4.32,0.0066000004,2025-10-09 05:30:00,0.3043,0.58,1.262,47.850662,29.40351,1842519,1842519,1955720,1460690,1460690,652.74,653.75,200,100,182238101504,532.65,813.7,813.7,2.0,9.677559,669.0402,670.1816,4.16,0.0063479464,USD,,,,,,False,Intuit Inc.
NOW,1,2,879.63,874.75,850.01,879.0,879.63,874.75,850.01,879.0,,,,0.0,,0.961,104.219666,51.42335,2044153,2044153,1554132,1852200,1852200,0.0,0.0,8000,16000,178753847296,678.66,1198.09,1198.09,22.62,14.111774,921.5808,934.7905,0.0,0.0,USD,,,,,,False,"ServiceNow, Inc."
INTC,1,2,38.38,38.32,36.8,39.8446,38.38,38.32,36.8,39.8446,,,2024-08-07 05:30:00,0.0,2.69,1.346,620.6667,38.391754,74867663,74867663,127970768,117487370,117487370,35.68,37.79,100,700,177634803712,17.67,42.48,75.828125,0.216146,3.3240666,33.0894,24.5458,0.0,0.0,USD,,,,,,False,Intel Corporation
APH,1,2,138.87,139.41,135.68,139.99,138.87,139.41,135.68,139.99,1.0,0.0072000003,2025-12-16 05:30:00,0.22,0.88,1.194,46.036667,63.93981,7641999,7641999,8300810,8256940,8256940,0.0,0.0,20000,20000,169054306304,56.45,142.5,142.5,0.080078,8.060376,124.5442,93.88855,0.66,0.0047526467,USD,,,,,,False,Amphenol Corporation
SONY,1,2,28.08,28.25,28.065,28.41,28.08,28.25,28.065,28.41,0.14,0.0047999998,2025-03-31 05:30:00,0.1016,0.58,0.84,22.101564,23.77311,2588104,2588104,3942003,3186550,3186550,0.0,27.94,170000,220000,168753184768,18.41,30.29,31.475,0.318182,0.012967729,28.761,25.829,20.0,0.7122507,USD,,,,,,False,Sony Group Corporation
ANET,1,2,140.42,140.65,132.59,141.99,140.42,140.65,132.59,141.99,,,,0.0,,1.392,50.958176,13.773896,11634745,11634745,8494962,8037740,8037740,134.01,134.27,50000,30000,168769404928,59.43,164.94,164.94,3.281563,19.97662,146.6788,111.0523,0.0,0.0,USD,,,,,,False,"Arista Networks, Inc."
ARM,1,2,160.19,167.0,155.1801,167.4799,160.19,167.0,155.1801,167.4799,,,,0.0,,4.132,202.88463,76.82039,6857550,6857550,4800162,4343640,4343640,158.35,195.0,100,100,167903019008,80.0,183.16,188.75,46.5,38.055984,155.1836,139.70218,0.0,0.0,USD,,,,,,False,Arm Holdings plc
KLAC,1,2,1227.1,1222.13,1191.8708,1223.05,1227.1,1222.13,1191.8708,1223.05,7.6,0.0063,2025-08-18 05:30:00,0.22620001,1.03,1.433,37.877552,36.758076,1178237,1178237,999915,1103520,1103520,1109.52,1209.99,100,100,158511710208,551.33,1284.47,1284.47,0.604167,12.656316,1063.4734,855.4704,7.2,0.0058674924,USD,,,,,,False,KLA Corporation
ACN,1,2,247.82,247.73,240.18,248.67,247.82,247.73,240.18,248.67,6.52,0.027,2025-10-10 05:30:00,0.48720002,1.45,1.262,19.879736,17.152807,3509028,3509028,4712806,3789170,3789170,0.0,241.55,20000,30000,149664317440,229.4,398.35,417.37,11.3,2.148097,245.844,294.1296,6.07,0.024493584,USD,,,,,,False,Accenture plc
TXN,1,2,163.57,162.75,161.0909,163.81,163.57,162.75,161.0909,163.81,5.68,0.0352,2025-10-31 05:30:00,0.9909,2.67,0.994,29.395266,27.445578,5171108,5171108,7473592,8838970,8838970,161.03,161.47,600,600,146633588736,139.95,221.69,221.69,1.21875,8.49262,178.4646,184.5052,5.44,0.03325793,USD,,,,,,False,Texas Instruments Incorporated
PANW,1,2,213.18,209.87,207.35,213.41,213.18,209.87,207.35,213.41,,,,0.0,,0.772,131.2857,29.356945,5303915,5303915,6494287,4680350,4680350,199.03,220.68,100,100,143070199808,144.15,223.61,223.61,6.513333,15.514852,206.739,191.56,0.0,0.0,USD,,,,,,False,"Palo Alto Networks, Inc."
ADBE,1,2,335.53,333.2,324.55,333.2,335.53,333.2,324.55,333.2,,,2005-03-24 05:30:00,0.0,0.12,1.536,20.408354,15.929441,3878635,3878635,4299314,3687290,3687290,327.11,343.62,100,200,137028714496,324.55,557.9,699.54,0.207031,5.911251,348.7594,381.68146,0.0,0.0,USD,,,,,,False,Adobe Inc.
CRWD,1,2,534.109,526.68,517.1,540.0,534.109,526.68,517.1,540.0,,,,0.0,,1.086,,124.71195,2957613,2957613,2955212,2261800,2261800,536.13,563.74,100,100,133638635520,298.0,555.81,555.81,31.95,30.784494,484.849,440.20163,0.0,0.0,USD,,,,,,False,"CrowdStrike Holdings, Inc."
ADI,1,2,236.0,235.19,231.2,237.04,236.0,235.19,231.2,237.04,3.96,0.017,2025-09-02 05:30:00,0.97199994,1.71,1.05,59.106598,30.885942,3025196,3025196,3339381,3081440,3081440,232.62,233.15,200,200,114566578176,158.65,258.13,258.13,0.592,11.030023,242.2204,224.3425,3.89,0.016483052,USD,,,,,,False,"Analog Devices, Inc."
